Category,Questions,Answers
Methodology,tf idf vectorization,tf idf short term frequency inverse document frequency numerical statistic intended reflect important word document collection corpus often weighting factor retrieval mining tf idf increase proportionally word appears document offset frequency word corpus help adjust fact word appear frequently
Model,generally softmax linearity function operation,take vector number return probability distribution clear output probability distribution element negative sum component
Model,explain svm algorithm detail,svm stand vector machine supervised machine learning algorithm regression classification svm try plot dimensional space feature particular coordinate svm us hyperplanes separate class kernel function
Model,kernel svm,four type kernel svm linear kernel polynomial kernel radial basis kernel sigmoid kernel
Methodology,difference regression classification ml technique,regression classification machine learning technique come supervised machine learning algorithm supervised machine learning algorithm train labelled explicitly correct label algorithm try pattern input output label discrete value classification problem etc label continuous value regression problem etc
EDA,various step involved analytics,understand problem explore become familiar prepare modelling detecting outlier treating missing value transforming variable etc preparation running analyze result tweak approach iterative step until possible outcome achieved validate implementing track result analyze performance period
Model,mean deep learning,deep learning nothing paradigm machine learning shown incredible promise recent fact deep learning show analogy functioning brain
Methodology,difference machine learning deep learning,machine learning field give computer ability explicitly programmed machine learning categorised supervised machine learning unsupervised machine learning reinforcement learning deep learning subfield machine learning concerned algorithm inspired structure function brain called artificial neural network
Methodology,opinion reason popularity deep learning recent,although deep learning major breakthrough technique came recent reason increase amount generated various source growth hardware run model gpus multiple faster build bigger deeper deep learning model comparatively le previously
Statistics,function,referred loss error function measure evaluate performance compute error output layer backpropagation push error backwards neural function
Statistics,hyperparameters,neural network usually working hyperparameters once formatted correctly hyperparameter parameter whose learning begin determines trained structure hidden unit learning epoch etc
Model,layer cnn,convolutional layer layer performs convolutional operation creating several smaller picture relu layer brings linearity convert negative pixel zero output rectified feature pooling layer pooling sampling operation reduces dimensionality feature fully connected layer layer recognizes classifies object
Model,pooling cnn,pooling reduce spatial dimension cnn performs sampling operation reduce dimensionality creates pooled feature sliding filter matrix input matrix
Model,recurrent neural network rnns,rnns artificial neural network designed recognise pattern sequence agency etc understand recurrent net understand basic feedforward net network rnn feed forward named channel mathematical oration performed node feed straight never touching node twice cycle loop latter called recurrent recurrent network hand input input example perceived previously decision recurrent neural reached affect decision reach moment later recurrent network source input present recent past combine determine respond error generate via backpropagation adjust weight until error lower remember purpose recurrent net accurately classify sequential input rely backpropagation error gradient descent
Model,lstm,short term memory lstm kind recurrent neural capable learning term dependency remembering period default behaviour step lstm step decides forget remember step selectively update cell value step decides make output
Model,multi layer perceptron mlp,neural network mlps input layer hidden layer output layer structure single layer perceptron hidden layer single layer perceptron classify linear separable class binary output mlp classify nonlinear class except input layer node layer us nonlinear activation function mean input layer coming activation function upon node weight added together producing output mlp us supervised learning method called backpropagation backpropagation neural calculates error function propagates error backward came adjusts weight train accurately
Model,explain gradient descent,understand gradient descent let understand gradient gradient measure output function change input bit simply measure weight regard error gradient slope function gradient descent thought climbing bottom valley instead climbing hill minimization algorithm minimizes given function activation function
Model,exploding gradient,rnn exponentially growing error gradient accumulate result update neural weight known exploding gradient extreme value weight become overflow result nan value effect unstable unable
Model,vanishing gradient,rnn slope become either make difficult slope problem known vanishing gradient lead poor performance accuracy
Model,propagation explain working,backpropagation algorithm multilayer neural method move error weight inside thus allowing efficient computation gradient step forward propagation derivative computed output target propagate computing derivative error wrt output activation previously calculated derivative output update weight
Model,variant propagation,stochastic gradient descent single example calculation gradient update parameter batch gradient descent calculate gradient whole dataset perform update iteration mini batch gradient descent popular optimization algorithm variant stochastic gradient descent instead single example mini batch sample
Model,auto encoder,auto encoders simple learning network aim transform input output minimum possible error mean output close input possible couple layer input output size layer smaller input layer auto encoder receives unlabelled input encoded reconstruct input
Model,dropout batch normalization,dropout technique dropping hidden visible unit randomly prevent overfitting typically dropping cent node double iteration needed converge batch normalization technique improve performance stability neural network normalizing input layer mean output activation zero standard deviation
Model,mean tensor tensorflow,tensor mathematical object represented array higher dimension array dimension rank fed input neural called tensor
Statistics,central limit theorem important,suppose interested estimating average height among collecting person impossible obtain height measurement everyone population sample question becomes average height entire population given single sample central limit theorem address question exactly
Model,assumption linear regression,four major assumption linear relationship dependent variable regressors meaning creating actually fit error residual normally distributed independent minimal multicollinearity explanatory variable homoscedasticity mean variance regression value predictor variable
EDA,explain rule tell importance validation,usually tend split test split once ratio create validation
Model,batch normalization explain,idea standardize sending layer approach help reduce impact layer keeping mean variance constant make layer independent achieve rapid convergence example normalize help accelerate learning cycle
EDA,choosing algorithm solve problem,develop problem statement problem step essential ll ensure fully understand problem input output problem solve problem statement simple single sentence example let consider enterprise spam requires algorithm identify problem statement fake spam scenario identification whether fake spam output once defined problem statement identify appropriate algorithm classification algorithm clustering algorithm regression algorithm recommendation algorithm algorithm depend specific problem trying solve scenario move forward clustering algorithm choose mean algorithm achieve goal filtering spam example aren always necessary answering artificial intelligence sometimes easier across
Methodology,difference inductive deductive abductive learning,inductive learning describes smart algorithm instance draw conclusion statistical ml nearest neighbor vector machine example inductive learning literal inductive learning arithmetic literal equality inequality predicate deductive learning smart algorithm draw conclusion truth generating structure major premise minor premise conclusion improve decision scenario ml algorithm engages deductive reasoning decision tree abductive learning dl technique conclusion various instance approach inductive reasoning applied causal relationship deep neural network
Methodology,step evaluate effectiveness ml,split test set option cross validation technique further segment composite test set implement choice selection performance metric confusion matrix accuracy precision recall sensitivity specificity score measure accuracy confusion matrix score ll critical demonstrate understand nuance measured choosing performance measure match problem
Model,bayes theorem useful machine learning context,bayes theorem give posterior probability event given known prior knowledge mathematically expressed true positive condition sample divided sum false positive population true positive condition chance actually having flu flu test flu test false overall population chance having flu actually chance having flu having positive test bayes theorem say say true positive condition sample true positive condition sample false positive population chance getting flu bayes theorem basis behind branch machine learning notably includes naive bayes classifier something important consider faced machine learning interview
Model,naive bayes naive,despite practical application especially mining naive bayes considered naive make assumption virtually impossible conditional probability calculated pure individual probability component implies absolute independence condition probably never met quora commenter put whimsically naive bayes classifier figured liked pickle ice cream probably naively recommend pickle ice cream
Model,explain difference regularization,regularization tends spread error among binary sparse variable either assigned weighting corresponds setting laplacean prior corresponds gaussian prior
Statistics,fourier transform,fourier transform generic method decompose generic function superposition symmetric function intuitive tutorial put given smoothie recipe fourier transform find cycle speed amplitude phase match signal fourier transform convert signal frequency domain common extract audio signal sensor
Methodology,deep learning contrast machine learning algorithm,deep learning subset machine learning concerned neural network backpropagation certain principle neuroscience accurately set unlabelled semi structured sense deep learning represents unsupervised learning algorithm learns representation neural net
Methodology,difference generative discriminative,generative discriminative simply distinction discriminative model generally outperform generative model classification task
Statistics,score,score measure performance weighted average precision recall tending tending worst classification test true negative don matter
Methodology,classification regression,classification produce discrete value dataset strict regression give continuous allow distinguish difference individual point classification regression wanted reflect belongingness point dataset certain explicit
Methodology,kernel trick useful,kernel trick involves kernel function enable higher dimension space explicitly calculating coordinate point dimension instead kernel function compute inner image pair feature space allows useful attribute calculating coordinate higher dimension computationally cheaper explicit calculation coordinate algorithm expressed inner kernel trick enables effectively run algorithm dimensional space lower dimensional
Methodology,experience spark machine learning,ll familiar meaning company ll spark tool demand able handle immense datasets speed honest don experience demanded description pop ll invest familiarizing yourself
Methodology,build pipeline,pipeline bread butter machine learning engineer model way automate scale sure familiar build pipeline apache airflow platform host model pipeline google cloud aws azure explain step functioning pipeline talk actual experience building scaling production
EDA,always,statistically depends example biased getting won depends suffers bias getting won improve test beyond etc practically tradeoff having additional storage computational memory requires hence always having
EDA,sure don analyze something end meaningless,proper exploratory analysis analysis task exploratory phase graphing thing testing thing set summarizing simple statistic getting rough idea hypothesis might pursue further exploitatory phase deeply hypothesis exploratory phase generate lot possible hypothesis exploitatory phase let understand few balance ll prevent yourself wasting thing meaningless although
EDA,determine important,run though gradient boosting machine random forest generate plot relative importance gain feature ensemble variable added forward variable selection
Methodology,way robust outlier,regularization reduce variance increase bias change algorithm tree method instead regression method resistant outlier statistical test parametric test instead parametric one robust error metric mae huber loss instead mse change winsorizing transforming log remove certain anomaly worth predicting
Methodology,difference expect minimizes squared error versus minimizes absolute error case error metric appropriate,mse strict having outlier mae robust sense harder fit numerically optimized le variability computationally easy fit mae mse mse easier compute gradient mae linear programming needed compute gradient mae robust outlier consequence error mse mse corresponds maximizing likelihood gaussian random variable
Methodology,error metric evaluate binary classifier class imbalanced group,accuracy proportion instance predict correctly pro intuitive easy explain con work poorly label imbalanced signal weak auroc plot fpr axis tpr axis threshold given random positive instance random negative instance auc probability identify pro work testing ability distinguishing class con interpret prediction probability auc determined ranking explain uncertainty logloss deviance pro error metric probability con sensitive false positive negative group binary classification logloss metric auc applicable binary
Methodology,various way predict binary response variable tell appropriate difference svm logistic regression naive bayes decision tree etc,thing linearly seperable independent likely overfit speed performance memory usage logistic regression roughly linear problem roughly linearly separable robust noise regularization selection avoid overfitting output come probability efficient computation distributed baseline algorithm hardly handle categorical svm nonlinear kernel deal problem linearly separable slow train scale application efficient naive bayes computationally efficient alleviating curse dimensionality work surprisingly case condition doesn hold word frequency independence assumption seen reasonable algorithm categorization conditional independence feature met tree ensemble deal categorical parametric worry outlier gbt parameter harder tune rf work usually performs worse gbt deep learning work classification task squeeze something problem
Methodology,given tweet retweets predict retweets given tweet observing worth,build seven cycle ask someone build regression function estimate retweets function determine regression function built cluster trend retweets regression function retweets predict seventh
Methodology,test assignment various bucket truly random,plot distribution multiple sure shape rigorously conduct permutation test distribution manova mean
Methodology,might benefit running test bucket exposed exact,verify sampling algorithm random
Methodology,hazard letting user sneak peek bucket test,might act suppose seen bucket essentially adding additional variable whether peeked bucket random across group
Methodology,run test variant,treatment sample enough way attempt correct changing confidence bonferroni correction doing wide test dive individual metric fisher protected lsd
Methodology,run test observation extremely skewed,lower variability modifying kpi cap value percentile metric log transform
Statistics,difference error,defined null hypothesis le fraction parameter value extreme observed parameter probability null hypothesis wrong error rejecting ho ho true error rejecting ho ha true
Statistics,airbnb test hypothesis greater photograph increase chance buyer selects test hypothesis,randomly selected listing hide random picture booking group
Statistics,experiment determine impact latency engagement,quantify impact performance isolate factor slowdown experiment delay test
Statistics,maximum likelihood estimation doesn exist,method parameter optimization fitting choose parameter maximize likelihood function likely outcome happen given maximum likelihood estimation mle method estimating parameter statistical given observation finding parameter value maximize likelihood making observation given parameter mle seen maximum posteriori estimation assumes uniform prior distribution parameter variant ignores prior therefore unregularized gaussian mixture parametric model doesn exist
Statistics,confidence interval interpret,example confidence interval interval constructed sample sampled constructed interval true mean confidence interval constructed given confidence infinite independent experiment proportion interval contain true parameter match confidence
Statistics,selection bias,selection bias kind error occurs researcher decides studied usually associated selection participant isn random sometimes referred selection effect distortion statistical analysis resulting method collecting sample selection bias taken conclusion study accurate type selection bias sampling bias systematic error due random sample population causing population le likely included others resulting biased sample interval bias trial terminated early extreme often ethical reason extreme likely reached variable largest variance variable similar mean specific subset chosen conclusion rejection bad arbitrary ground instead according previously stated generally agreed criterion attrition attrition bias kind selection bias caused attrition loss participant discounting trial subject test run completion
Methodology,regression model solve regression problem,regression supervised ml regression model investigate relationship dependent target independent variable predictor common regression model linear regression establishes linear relationship target predictor predicts numeric shape straight polynomial regression regression equation independent variable curve fit point ridge regression help predictor highly correlated multicollinearity problem penalizes square regression coefficient doesn allow coefficient reach zero us regularization lasso regression penalizes absolute value regression coefficient allows coefficient reach absolute zero thereby allowing feature selection
Model,assumption linear regression,several assumption linear regression violated prediction interpretation worthless misleading linear relationship target variable additivity mean effect change target variable depend value example predicting revenue sold sold sell revenue increase independent sold customer stop buying additivity assumption violated correlated collinearity difficult separate individual effect collinear target variable error independently identically normally distributed yi errori correlation error consecutive error constant variance error homoscedasticity example seasonal pattern increase error season higher activity error normaly distributed otherwise influence target variable others error distribution significantly normal confidence interval wide narrow
Statistics,normal distribution,normal distribution derives importance central limit theorem draw enough sample mean follow normal distribution regardless initial distribution sample distribution mean sample normal important sample independent powerful help study process whose population distribution unknown
Statistics,variable follows normal distribution,plot histogram sampled fit bell shaped normal curve histogram hypothesis underlying random variable follows normal distribution rejected skewness kurtosis sampled skewness kurtosis typical normal distribution farther away value normal distribution kolmogorov smirnov shapiro wilk test normality skewness kurtosis simultaneously quantile quantile plot scatterplot created plotting set quantiles against normal q q plot point roughly straight
Methodology,build predicting distributed normally pre processing,normal specially datasets uncleaned datasets always certain skewness go prediction house thing consideration depends factor chance presence skewed value outlier talk pre processing probably remove outlier distribution near normal
Model,method solving linear regression,solve linear regression coefficient minimize sum squared error matrix algebra method let matrix vector value predict matrix algebra minimization problem solution solving requires inverse consuming impossible luckily method singular decomposition svd qr decomposition reliably calculate called pseudo inverse actually needing inverse popular python ml sklearn us svd solve least square
Model,gradient descent,gradient descent algorithm us calculus concept gradient try reach global minimum work taking negative gradient given function updating repeatedly calculated negative gradient until algorithm reach global minimum cause future iteration algorithm value equal close widely machine learning application
Statistics,normal equation,normal equation equation obtained setting equal zero partial derivative sum squared error least square normal equation allow estimate parameter multiple linear regression
Methodology,sgd stochastic gradient descent difference usual gradient descent,gradient descent gd stochastic gradient descent sgd update parameter iterative manner minimize error function gd run sample single update parameter particular iteration sgd hand subset sample update parameter particular iteration subset called minibatch stochastic gradient descent
Methodology,metric evaluating regression model,mean squared error mse root mean squared error rmse mean absolute error mae coefficient determination adjusted
Statistics,mse rmse,mse stand mean square error rmse stand root mean square error metric evaluate model
Statistics,bias variance trade,bias error introduced approximating true underlying function quite complex simpler variance sensitivity change dataset bias variance trade relationship expected test error variance bias contribute test error ideally possible expectedtesterror variance bias irreducibleerror complexity increase bias decrease variance increase lead overfitting vice versa simplification help decrease variance increase bias lead underfitting
Methodology,fold cross validation,fold cross validation method cross validation hyperparameter dataset divided part st validation remaining nd validation remaining part validation once remaining part taken together
Methodology,choose fold cross validation favorite,thing consider deciding model validation model le least model give le biased decision metric hand dataset least entire least ratio validation maintained tend datasets one
Model,logistic regression linear,logistic regression considered generalized linear outcome always depends sum input parameter word output depend quotient etc parameter
Model,logistic regression,logistic regression machine learning algorithm binary classification logistic regression variable take value true false spam spam churn churn variable binary dichotomous
Model,sigmoid,sigmoid function activation function specifically defined squashing function squashing function limit output range making function useful prediction probability sigmod
Statistics,precision recall trade,tradeoff mean increasing parameter lead decreasing precision recall tradeoff occur due increasing parameter precision recall keeping ideal scenario perfectly separable precision recall maximum practical situation noise dataset dataset perfectly separable might point positive closer negative vice versa case shifting decision boundary either increase precision recall increasing parameter lead decreasing
Statistics,roc curve,roc stand receiver operating characteristic diagrammatic representation show contrast true positive v false positive predict probability binary outcome
Statistics,auc au roc,auc stand roc curve roc probability curve auc represents degree measure separability capable distinguishing class higher
Statistics,interpret au roc score,auc score roc curve excellent auc near mean measure separability poor auc near mean worst measure separability auc score mean separation capacity whatsoever
Statistics,pr precision recall curve,precision recall curve pr curve plot precision axis recall axis probability threshold precision recall curve pr curve recommended highly skewed domain roc curve excessively optimistic performance
Statistics,pr curve useful metric,precision recall auc roc auc summarizes curve range threshold value single score curve represents recall precision precision relates false positive recall relates false negative
Statistics,case au pr au roc,au roc look true positive tpr false positive fpr au pr look positive predictive ppv true positive tpr typically true negative meaningful problem positive au pr typically useful otherwise equally positive negative dataset quite balanced au roc idea
EDA,categorical variable,categorical variable encoded train machine learning various encoding technique encoding label encoding ordinal encoding target encoding
Model,kind regularization technique applicable linear model,aic bic ridge regression lasso elastic net basis pursuit denoising rudin osher fatemi potts rlad dantzig selector slope
Model,effect regularization weight linear,regularization penalizes larger weight severely due squared penalty term encourages weight value decay toward zero
Model,regularization look linear,regularization add penalty term function equal sum module model coefficient multiplied lambda hyperparameter
Model,difference regularization,penalty regularization us sum absolute value weight regularization us sum weight squared feature selection performs feature selection reducing coefficient predictor computational efficiency analytical solution multicollinearity address multicollinearity constraining coefficient norm
Model,regularization component linear,elastic net regularization combine regularization
Model,interpretation bias term linear model,bias simply difference predicted actual true interpreted distance average prediction true true minus mean prediction dont confused accuracy bias
Model,interpret weight linear model,normalizing weight variable increase corresponding predictor unit coefficient represents average output change interpretation work logistic regression increase corresponding predictor unit weight represents log odds variable normalized interpret weight linear model importance variable predicted result
Model,weight variable higher variable important,predictor variable normalized normalization weight represents output unit predictor predictor huge range scale predict output range example nation gdp predict maternal mortality rate coefficient necessarily mean predictor variable important compared others
Model,perform feature normalization linear model okay,feature normalization necessary regularization idea method penalize relatively equally done effectively feature scaled differently linear regression regularization technique feature normalization regularization analytical solution stable add regularization matrix feature matrix inverting
EDA,feature selection technique,feature selection principal component analysis neighborhood component analysis relieff algorithm
EDA,regularization feature selection,nature regularization lead sparse coefficient feature selection done keeping zero coefficient
Model,benefit single decision tree compared complex model,easy implement fast fast inference explainability
Model,important decision tree,often split minimizes sum node impurity impurity criterion parameter decision tree popular method measure impurity gini impurity entropy describing gain
Model,randomization random forest,random forest extention bagging algorithm take random sample dataset replacement train several model average prediction addition split tree considered random forest take random sample replacement us subset candidate split example sqrt decision tree random sample dataset reduces variance sampling split decision tree decorrelates tree
Model,depth tree random forest,greater depth greater amount extracted tree limit algorithm defensive against overfitting complex noise present result overfit noise hence hard thumb rule deciding depth literature suggests few tip tuning depth tree prevent overfitting limit maximum depth tree limit test node limit minimum object node split split node least resulting subsample size below given threshold stop developing node sufficiently improve fit
Model,tree random forest,tree random forest worked estimator random forest reduces overfitting increasing tree fixed thumb rule decide tree random forest rather fine tuned typically starting taking square present followed tuning until optimal
EDA,happens correlated,random forest random forest sample build tree contained correlated twice likely picked contained adding correlated mean linearly contains thus reduce robustness train might pick feature explain variance reduce entropy etc
Model,gradient boosting tree,gradient boosting machine learning technique regression classification problem produce prediction ensemble weak prediction model typically decision tree
Model,difference random forest gradient boosting,random forest build tree independently gradient boosting build tree random forest combine averaging majority rule gradient boosting combine along
Model,possible parallelize gradient boosting,framework option faster gpus speed making highly parallelizable example xgboost tree method gpu hist option make faster gpus
Model,approach tuning parameter xgboost lightgbm,depending upon dataset parameter tuning done manually hyperparameter optimization framework optuna hyperopt manual parameter tuning aware max depth min sample leaf min sample split overfit try predict generalized characteristic basically keeping variance bias
Model,tree gradient boosting,implementation gradient boosting configured default relatively tree hundred thousand scikit perform grid estimator parameter
Methodology,hyper parameter tuning strategy difference grid parameter tuning strategy random,several strategy hyper tuning argue popular nowadays grid exhaustive approach hyper parameter need manually give value algorithm try value selected grid evaluates algorithm combination hyper parameter return combination give optimal result lowest mae grid evaluates given algorithm combination easy quite computationally expensive lead sub optimal specifically need specify specific value hyper parameter prone error requires domain knowledge random similar grid differs sense rather specifying value try hyper parameter upper lower bound value hyper parameter given instead uniform probability random value bound chosen similarly combination returned although seems le intuitive domain knowledge necessary theoretically parameter space explored completely framework bayesian optimization thought statistical optimization commonly neural network specifically evaluation neural computationally costly numerous paper method heavily outperforms grid random currently google cloud platform aws depth explanation requires heavy background bayesian statistic gaussian process maybe theory simple explanation simpler faster acquisition function intelligently chooses surrogate function probability improvement gp ucb hyper parameter value try computationally expensive original algorithm result initial combination value expensive original function acquisition function take result expensive original algorithm us prior knowledge again come hyper parameter choose iteration continues either specified iteration specified amount similarly combination hyper parameter performs expensive original algorithm chosen
Model,kind problem neural net solve,neural net solving linear problem example problem relatively easy human experience intuition understanding etc difficult traditional regression model speech recognition handwriting recognition identification etc
Model,usual fully connected feed forward neural,usual fully connected feed forward neuron receives input element layer thus receptive field neuron entire layer usually represent feature vector input classification problem expensive train computation involved
Model,activation function,idea neural network complex nonlinear function activation function layer neural stacking multiple linear layer lead learning linear function nonlinearity come activation function reason activation function
Model,problem sigmoid activation function,derivative sigmoid function positive negative number almost zero come problem vanishing gradient backpropagation net drastically slow possible solve problem relu activation function
Model,relu sigmoid tanh,relu abbreviation rectified linear unit activation function negative value positive value relu simple activation function make fast compute sigmoid tanh activation function saturate higher value relu potentially infinite activation address problem vanishing gradient
Model,initialize weight neural,proper initialization weight matrix neural necessary simply way initializtions initializing weight zero setting weight zero make linear important setting bias create trouble zero weight breaking symmetry bias value neuron initializing weight randomly assigning random value weight assignment weight initialized value term np dot becomes significantly higher activation function sigmoid applied function map near slope gradient change slowly learning take lot weight initialized value get mapped above problem often referred vanishing gradient
Model,weight neural,weight neural zero output connection mean gradient backpropagated connection layer mean connection weight thing never converges
Model,regularization technique neural net,regularization defined sum absolute value individual parameter penalty cause subset weight become zero suggesting corresponding safely discarded regularization defined sum square individual parameter often supported regularization hyperparameter alpha weight decay augmentation requires fake created drop effective regularization technique newral net few randome node layer deactivated forward pas allows algorithm train node iteration
Model,dropout useful,dropout technique step turn neuron certain probability iteration train neuron force rely subset neuron feature representation lead regularizing effect controlled hyperparameter
Model,backpropagation,backpropagation algorithm look minimum error function weight space technique called delta rule gradient descent weight minimize error function considered solution learning problem backpropogation calculate error far output actual output minimum error whether error minimized update parameter error huge update parameter weight bias again error repeat until error becomes minimum ready prediction once error becomes minimum feed input produce output
Model,optimization technique neural net,gradient descent stochastic gradient descent mini batch gradient descent among gradient descent nesterov accelerated gradient momentum adagrad adadelta adam le efficient
Model,sgd stochastic gradient descent neural net,sgd approximates expectation few randomly selected sample instead comparison batch gradient descent efficiently approximate expectation set sgd neural network reduces lot considering converge later random sampling add noise gradient descent
Model,learning,learning important hyperparameter control quickly adapted problem seen step width parameter update far weight moved direction minimum optimization problem
Model,learning,straightforward finding optimum learning involves lot hit trial usually starting value starting setting learning further tweaking doesn overshoot converge slowly
Model,adam difference adam sgd,adam adaptive moment estimation optimization technique neural network average optimizer work momentum intuition behind adam don roll fast jump minimum decrease velocity bit careful adam tends converge faster sgd often converges optimal solution sgd variance disadvantage get rectified adam advantage adam
Model,adam sgd,adam tends converge faster sgd often converges optimal solution
Model,decide stop neural net,simply stop validation error minimum
Model,checkpointing,saving weight learned mid running process known checkpointing resume certain checkpoint
Model,convolutional layer,idea convolutional layer assumption needed making decision often spatially close thus take weighted sum nearby input assumes network kernel reused node hence weight drastically reduced counteract feature learnt layer multiple kernel applied input creates parallel channel output consecutive layer stacked allow
Model,actually convolution fully connected layer,fully connected layer need weight inter layer connection mean weight need computed quickly balloon layer node layer increased
Model,pooling cnn,pooling technique downsample feature allows layer receive relatively undistorted version input line layer deeper abstract texture
Model,max pooling pooling technique,max pooling technique maximum receptive field passed feature commonly receptive field stride mean feature downsampled receptive field larger rarely employed lost pooling technique average pooling output average receptive field min pooling output minimum receptive field global pooling receptive field equal input mean output equal scalar reduce dimensionality feature
Model,cnns resistant rotation happens prediction cnn rotated,cnns resistant rotation model resistant augmenting datasets rotation raw prediction cnn rotated augment dataset accordingly
Model,augmentation,augmentation artifical expanding existing datasets performing transformation color shift thing help diversifying increasing scarcity train
Model,kind augmentation,kind augmentation according working geometric numerical transformation pca cropping padding shifting noise injection etc
Model,choose augmentation,augmentation depend output class eg mostly properly illuminated image dataset predict poorly illuminated image apply channel shifting resultant image dataset
Model,kind cnn architecture classification,classification inception xception densenet alexnet vgg resnet squeezenet efficientnet mobilenet designed smaller parameter helpful edge ai
Model,transfer learning,given domain learning task target domain learning task transfer learning aim improve learning target predictive function knowledge word transfer learning enables reuse knowledge coming domain learning task context cnns network pre trained popular datasets imagenet weight layer represent combine layer learns feature representation given class popular strategy either freeze layer feature representation completely give smaller learning
Methodology,bag word classification,bag word representation describes occurrence word document structure word considered classification histogram word consider word count feature
Methodology,advantage disadvantage bag word,advantage simple understand implement disadvantage vocabulary requires careful specifically manage impact sparsity document representation sparse representation harder computational reason space complexity reason discarding word ignores context turn meaning word document context meaning offer lot modeled tell difference word differently arranged interesting v interesting synonym bike v bike
Methodology,gram,function tokenize consecutive sequence word called gram co occurring word often word followed word given sentence
Methodology,tf idf useful classification,term frequency tf scoring frequency word document inverse document frequency idf scoring rare word across document scenario highly recurring word contain informational domain specific word example word frequent across document therefore le weighted tf idf score highlight word distinct contain useful given document
Model,prefer gradient boosting tree logistic regression doing classification bag word,usually logistic regression bag word creates matrix column huge column logistic regression usually faster gradient boosting tree
Methodology,sentence multiple word combine multiple word embeddings,approach ranked simple complex average word weighted average word weighting done inverse document frequency idf tf idf ml lstm transformer
Model,mean work,partition point subset compute seed point centroid cluster partitioning assign cluster nearest seed step stop assignment
Model,mean,domain knowledge expert know elbow method compute cluster value calculate cluster sum square plot sum according cluster band cluster average silhouette method compute cluster value calculate average silhouette observation plot silhouette according cluster maximum cluster
Methodology,clustering algorithm,medoids take central instead mean cluster make robust noise agglomerative hierarchical clustering ahc hierarchical cluster combining nearest cluster starting cluster divisive analysis clustering diana hierarchical clustering starting cluster containing point splitting cluster until describes cluster density spatial clustering application noise dbscan cluster defined maximum density connected point
Methodology,dbscan work,input parameter epsilon neighborhood radius minpts minimum point epsilon neighborhood cluster defined maximum density connected point point density connected epsilon minpts density reachable epsilon minpts density reachable epsilon minpts chain point directly density reachable directly density reachable neighborhood dist epsilon
Methodology,choose mean dbscan,dbscan robust noise dbscan amount cluster difficult guess mean lower complexity faster especially larger amount point
EDA,curse dimensionality,dimension relatively tightly packed adding dimension stretch point across dimension pushing further apart additional dimension spread further making dimensional extremely sparse difficult machine learning sparse space
Methodology,dimensionality reduction technique,singular decomposition svd principal component analysis pca linear discriminant analysis lda distributed stochastic neighbor embedding sne autoencoders fourier wavelet transforms
Methodology,singular decomposition typically machine learning,singular decomposition svd matrix decomposition method factor matrix matrix singular value diagonal matrix singular value machine learning principal component analysis pca typically svd singular value correspond eigenvectors value diagonal matrix square eigenvalue statistically descriptive having calculated eigenvectors eigenvalue kaiser guttman criterion scree plot proportion explained variance determine principal component final dimensionality useful dimensionality reduction
Statistics,precision recall,precision recall evaluation metric ranking algorithm precision show share relevant ranking algorithm recall indicates share relevant returned correct answer given query example query relevant algorithm return relevant precision num relevant result recall num relevant result num relevant
Methodology,baseline building recommender,recommer give relevant personalized recommend know find easily diverse suggestion explore
Methodology,collaborative filtering,collaborative filtering prominent approach generate recommendation us wisdom crowd give recommendation experience others recommendation calculated average experience give score indicates calculate experience user ui sum vi similar experience higher weight introduce similarity user multiplier user individual average larger normalization technique centering z score normalization remove user bias collaborative filtering matrix input improves sparse cold start below usually tends overfit
Methodology,incorporate implicit feedback click etc recommender,comparison explicit feedback implicit feedback datasets lack negative example example explicit feedback positive negative implicit feedback purchase click popular approach solve problem named weighted alternating least square wals hu koren volinsky collaborative filtering implicit feedback datasets mining icdm eighth ieee conference pp ieee instead modeling matrix directly number amount click describe strength observation action try latent factor predict expected preference
Methodology,cold problem,collaborative filterung incorporates crowd knowledge give recommendation certain recommend calculate score recommendation user certain distinguish way cold problem rated yet give recommendation calculate similarity
Methodology,possible approach solving cold problem,filtering incorporates calculate similarity recommend similarity liked already dependant rating user given anymore solve cold problem demographic filtering incorporates profile calculate similarity solves cold problem user
Model,usual regression problem,principle behind causal forecasting predicted dependant input causal factor forecasting predicted expected follow certain pattern
Model,model solving problem,simple exponential smoothing approximate exponentional function trend corrected exponential smoothing holt method exponential smoothing model trend trend seasonality corrected exponential smoothing holt winter method exponential smoothing model trend seasonality decomposition decomposed four component trend seasonal variation cycling varation irregular component autoregressive model similar multiple linear regression except dependent variable depends value rather independent variable deep learning approach rnn lstm etc
Methodology,trend remove,explicitly trend seasonality approach holt method holt winter method explicitly trend reach stationarity approach require stationarity stationarity interpretation analysis problematic manuca radu savit robert stationarity nonstationarity analysis physica nonlinear phenomenon
Methodology,variable measured predict approach,correlation observation measure correlation called autocorrelation autoregressive model multiple regression model lag original treated multiple independent variable
Methodology,variable predict approach,given assumption give meaningful causation causal forecasting approach linear regression multiple nonlinear regression might useful lot explanability priority consider deep learning approach
Model,problem tree solving problem,random forest model able extrapolate understand increasing decreasing trend average point validation value greater point
Methodology,common algorithm supervised learning unsupervised learning,supervised learning algorithm linear regression logistic regression decision tree random forest naive bayes neural network example unsupervised algorithm clustering mean visualization dimensionality reduction principal component analysis pca distributed stochastic neighbor embedding sne association rule learning apriori
Methodology,choose classifier,bias variance model le likely overfit example naive bayes bias variance model express complex relationship example logistic regression
